audio_file,text,speaker
wavs/utt_00000.wav,నరకవాసి.,speaker_1
wavs/utt_00001.wav,బ్రహ్మదత్తుడు కాశీరాజ్యాన్ని పరిపాలించే కాలంలో ఆ నగరంలో ధనికుడైన ఒక గొప్పవర్తకుడుండేవాడు ఆయనకు మిత్ర విందకుడని ఒక కొడుకుండే వాడు ఈ మిత్రవిందకుడు ఎంతో పాపాత్ముడు వర్తకుడు చనిపోయాక ఆయన భార్య తన కుమారుడికి నాయనా దానాలు చెయ్యి నియమాలు పాటించు ధర్మం అనుసరించు అని ఎంతో హితబోధ చేసింది కాని వాడు తల్లి మాటలు కొంచెమైనా వినిపించుకోలేదు.,speaker_2
wavs/utt_00002.wav,ఇంతలో కార్తీక పౌర్ణమి వచ్చింది మిత్రవిందకుడితో తల్లి నాయనా ఇవాళ పుణ్యదినం తెల్లవార్లూ విహారంలో ధర్మోపదేశం చేస్తారు నీవు అక్కడ అందరితోపాటు పూజచేసుకుని ఉపదేశం వినిరా తిరిగివచ్చాక నీకు వెయ్యి రుపాయలిస్తాను అన్నది.,speaker_1
wavs/utt_00003.wav,"డబ్బుకోసమని మిత్రవిందకుడు సరేనన్నాడు అతను ఉపదేశం వినటానికి వెళ్ళాడుగాని ఒక మూల పడుకుని నిద్రపోయాడు తెల్లవారుతూనే లేచి ముఖం కడుక్కుని ఇంటికి తిరిగి వచ్చాడు తన కొడుకు ధర్మబోధకుణ్ణి వెంటబెట్టుకుని, వస్తాడనే ఉద్దేశంతో అతని తల్లి వంటచేసి సిద్దంగా ఉంది కొడుకు ఒంటరిగా రావటం చూసి ధర్మభోధకుణ్ణి తీసుకురాలేదా నాయనా అని అడిగింది.",speaker_2
wavs/utt_00004.wav,ఆయనను ఇక్కడికి తీసుకురావటం దేనికమ్మా నా కాయనతో పనిలేదు అన్నాడు మిత్రవిందకుడు.,speaker_1
wavs/utt_00005.wav,ఆతను భోజనంచేసి తల్లి దగ్గిర వేయ్యిరూపాయలూ తీసుకుని తన పనిమీద తాను వెళ్ళాడు ఈ డబ్బుతో అతను వ్యాపారం చేసి త్వరలోనే ఇరవై లక్షల రూపాయలు సంపాదించుకున్నాడు.,speaker_2
wavs/utt_00006.wav,"ఈ డబ్బు పెట్టుబడి చేసి, సముద్ర వ్యాపారం సాగిస్తాను ఇంకా ఎక్కువ డబ్బు, సంపాదిస్తాను అనుకున్నాడు మిత్రవిందకుడు అతను ఒక పడవ కొని దానిలో సరుకులు ఎక్కించి, సముద్రాల మీద బయలుదేరుతున్నానని చెప్పి పోవటానికి తల్లివద్దకు వచ్చాడు.",speaker_1
wavs/utt_00007.wav,అంతా విని తల్లి కంట తడిపెట్టి నాయనా నాకు నీవొక్కడవే కొడుకువు నీ దగ్గిర ఇంత డబ్బున్నదిగదా ఇంకా డబ్బు సంపాదించి ఏం చేసుకుంటావు సముద్ర ప్రయాణం క్షేమం కాదు నా మాట విని ఈ ప్రయాణం మానుకో ఇంటి పట్టున ఉండు అన్నది.,speaker_2
wavs/utt_00008.wav,"మిత్రవిందకుడు తల్లి మాట వినక పోయితీరాలని మూర్ఖించాడు ఆవిడ తన కొడుకు చెయ్యి పట్టుకుని వెళ్ళవద్దని బతిమాలింది మిత్రవిందకుడు తల్లిని కొట్టి తన చేతిని విడిపించుకుని, వెళ్ళిపోయాడు.",speaker_1
wavs/utt_00009.wav,"ఆ రోజే అతని పడవ బయలుదేరింది అది సముద్రాన్ని చేరుకున్న, తరువాత ఏడు రోజులపాటు ప్రయాణం సరిగానే సాగింది కాని ఎనిమిదవ రోజున నడిసముద్రంలో పడవ ఎటూ కదలక ఆగిపోయింది ఈ దుర్ఘటనకు, కారకులెవరో పడవలోనే వున్నారనే ఉద్దేశంతో నావికులు చీటీ వేశారు చీటీ మిత్రవిందకుడికి వచ్చింది నావికులు ముడుసార్లు చీటీ వేశారు మూడుసార్లు అది మిత్రవిందకుడికే వచ్చింది.",speaker_2
